4EX;4 (EARTH X)
FF:FF;FANTASTIC FOUR: FIRST FAMILY
FF:FOES;FANTASTIC FOUR: FOES
FF:HOM;FANTASTIC FOUR: HOUSE OF M
FF:IDLM;FANTASTIC FOUR: ISLA DE LA MUERTE
FF:NGOA;FANTASTIC FOUR: NOBODY GETS OUT ALIVE TPB
FF:SE;FANTASTIC FOUR: SPECIAL EDITION
FF:TS;FANTASTIC FOUR: TRUE STORY
FF2099;FANTASTIC FOUR 2099
FFC-S;FANTASTIC FOUR COSMIC-SIZE
FFFR;FIN FANG FOUR RETURN!
FFIVE;FANTASTIC FIVE
FFIVE2;FANTASTIC FIVE VOL. 2
FFOR;FANTASTIC FORCE
FFOR2;FANTASTIC FORCE VOL. 2
FFROAST;FANTASTIC FOUR ROAST
FFSINBAD;FANTASTIC 4TH VOYAGE OF SINBAD
FFU;FANTASTIC FOUR UNLIMITED
FFUP;FANTASTIC FOUR UNPLUGGED
FFV.X;FANTASTIC FOUR VS. X-MEN
FFWED;FANTASTIC FOUR WEDDING SPECIAL
FFWGCM;FANTASTIC FOUR WORLD'S GREATEST COMIC MAGAZINE
FHEM$M/U;FRED HEMBECK $ELL$ THE MARVEL UNIVERSE
FHEMDM/U;FRED HEMBECK DESTROYS THE MARVEL UNIVERSE
FI;FEAR ITSELF
FI:BSKULL;FEAR ITSELF: BOOK OF THE SKULL
FI:DEEP;FEAR ITSELF: DEEP
FI:DP;FEAR ITSELF: DEADPOOL
FI:FF;FEAR ITSELF: FF
FI:FLSS;FEAR ITSELF: FEARLESS
FI:HF;FEAR ITSELF: HOME FRONT
FI:SM;FEAR ITSELF: SPIDER-MAN
FI:UXFOR;FEAR ITSELF: UNCANNY X-FORCE
FI:W;FEAR ITSELF: WOLVERINE
FI:WORTHY;FEAR ITSELF: WORTHY
FIGHT-MAN;FIGHT-MAN
FIMP;FUTURE IMPERFECT
FIRSTX;FIRST X-MEN
FLANE;FAST LANE
FLOOD;FLOOD RELIEF
FLSSDEF;FEARLESS DEFENDERS
FMAX;FURY MAX
FMON;FRANKENSTEIN MONSTER
FNSM;FRIENDLY NEIGHBORHOOD SPIDER-MAN
FOHS:A;FALL OF THE HULKS: ALPHA
FOHS:G;FALL OF THE HULKS: GAMMA
FOHS:RH;FALL OF THE HULKS: RED HULK
FOHS:SAVSHS;FALL OF THE HULKS: SAVAGE SHE-HULKS
FOOL;FOOLKILLER
FORTUNE;DOMINIC FORTUNE
FOS;FURY OF S.H.I.E.L.D.
FOUR;MARVEL KNIGHTS: 4
FOXFIRE;FOXFIRE
FREEX;FREEX
FSON:A;FALLEN SON: AVENGERS
FSON:CA;FALLEN SON: CAPTAIN AMERICA
FSON:IM;FALLEN SON: IRON MAN
FSON:SM;FALLEN SON: SPIDER-MAN
FSON:W;FALLEN SON: WOLVERINE
FSTAR;FIRESTAR
FSTAR2;FIRESTAR VOL. 2
FW;FORCE WORKS
FX;FACTOR X
GALG;GALACTIC GUARDIANS
GAM;GAMBIT
GAM2;GAMBIT VOL. 2
GAM3;GAMBIT VOL. 3
GAM4;GAMBIT VOL. 4
GAM5;GAMBIT VOL. 5
GAM&BSHP:A;GAMBIT & BISHOP ALPHA
GAM&BSHP:SOA;GAMBIT & BISHOP: SONS OF THE ATOM
GAM&XT;GAMBIT & THE X-TERNALS
GAMCC;GAMBIT CYBER COMIC
GARG;GARGOYLE
GDOGS;GENE DOGS
GENE;GENETIX
GENH;GENERATION HOPE
GENM;GENERATION M
GENNXT;GENERATION NEXT
GENX;GENERATION X
GENX HSPEC;GENERATION X HOLIDAY SPECIAL
GENX/D;GENERATION X/DRACULA
GENX:OV;GENERATION X: OPENING VOLLEY
GENXUND;GENERATION X UNDERGROUND SPECIAL
GEORGIEC;GEORGIE COMICS
GG;GREEN GOBLIN
GIRLC;GIRL COMICS
GIRLC2;GIRL COMICS VOL. 2
GK;GET KRAVEN
GL/SS;GREEN LANTERN/SILVER SURFER
GLA;GREAT LAKES AVENGERS
GLCTS:DEV;GALACTUS: THE DEVOURER
GLX-MAS;GLX-MAS
GODWHEEL;GODWHEEL
GOLDILUX;GOLDILUX (DRAGON'S CLAWS #6)
GOTG;GUARDIANS OF THE GALAXY
GOTG2;GUARDIANS OF THE GALAXY VOL. 2
GOTG3;GUARDIANS OF THE GALAXY VOL. 3
GR;GHOST RIDER
GR2;GHOST RIDER VOL. 2
GR3;GHOST RIDER VOL. 3
GR4;GHOST RIDER VOL. 4
GR5;GHOST RIDER VOL. 5
GR6;GHOST RIDER VOL. 6
GR7;GHOST RIDER VOL. 7
GR/BALLISTIC;GHOST RIDER/BALLISTIC
GR/CA:FEAR;GHOST RIDER/CAPTAIN AMERICA: FEAR
GR/W/P:DD;GHOST RIDER/WOLVERINE/PUNISHER: DARK DESIGN
GR/W/P:HOD;GHOST RIDER/WOLVERINE/PUNISHER: HEARTS OF DARKNESS
GR:DK;GHOST RIDER: DANNY KETCH
GR:TT;GHOST RIDER: TRAIL OF TEARS
GR2099;GHOST RIDER 2099
GRAVITY;GRAVITY
GRS:C;GHOST RIDERS: CROSSROADS
GRS:HOF;GHOST RIDERS: HEAVEN'S ON FIRE
GSA;GIANT-SIZE AVENGERS
GSA2;GIANT-SIZE AVENGERS VOL. 2
GSASTONX;GIANT-SIZE ASTONISHING X-MEN
GSCH;GIANT-SIZE CHILLERS
GSCR;GIANT-SIZE CREATURES
GSD;GIANT-SIZE DRACULA
GSDEF;GIANT-SIZE DEFENDERS
GSFF;GIANT-SIZE FANTASTIC FOUR
GSFREEX;GIANT-SIZE FREEX
GSH2;GIANT-SIZE HULK VOL. 2
GSH3;GIANT-SIZE HULK VOL. 3
GSINV;GIANT-SIZE INVADERS
GSKC;GIANT-SIZE KID COLT
GSM-T;GIANT-SIZE MAN-THING
GSMANTRA;GIANT-SIZE MANTRA
GSMM/SPIDEY;GIANT-SIZE MINI-MARVELS STARRING SPIDEY
GSMOKF;GIANT-SIZE MASTER OF KUNG FU
GSMSM;GIANT-SIZE MS. MARVEL
GSPRO;GIANT-SIZE PROTOTYPE
GSRUNE;GIANT-SIZE RUNE
GSS-H;GIANT-SIZE SUPER-HEROES
GSSM;GIANT-SIZE SPIDER-MAN
GSSS;GIANT-SIZE SUPER-STARS
GSSVTU;GIANT-SIZE SUPER-VILLAIN TEAM-UP
GSSW;GIANT-SIZE SPIDER-WOMAN
GSW;GIANT-SIZE WOLVERINE
GSWBN;GIANT-SIZE WEREWOLF BY NIGHT
GSWRATH;GIANT-SIZE WRATH
GSWSTRK;GIANT-SIZE WARSTRIKE
GSX;GIANT-SIZE X-MEN
GUN;GUNHAWKS
GUNR;GUN RUNNER
GZILL;GODZILLA
H;HULK
H2;HULK VOL. 2
H3;HULK VOL. 3
H&PP;HULK AND POWER PACK
H/TG:HK;HULK/THING: HARD KNOCKS
H/W:6H;HULK/WOLVERINE: SIX HOURS
H:BW;HULK: BROKEN WORLDS
H:FIMP;HULK: FUTURE IMPERFECT
H:GRAY;HULK: GRAY
H:LBB;HULK: LET THE BATTLE BEGIN
H:NM;HULK: NIGHTMERICA
H:RT;HULK: RAGING THUNDER
H:WG;HULK: WINTER GUARD
H-M;HIT-MONKEY
H-M2;HIT-MONKEY VOL. 2
H2099;HULK 2099
HAGE:POP;HEROIC AGE: PRINCE OF POWER
HANGEL;HELL'S ANGEL
HARD;HARDCASE
HARD ASH;HARDCASE ASHCAN
HAWK;HAWKEYE
HAWK2;HAWKEYE VOL. 2
HAWK3;HAWKEYE VOL. 3
HAWK4;HAWKEYE VOL. 4
HAWK&MOCK;HAWKEYE & MOCKINGBIRD
HAWK:BS;HAWKEYE: BLINDSPOT
HAWK:EMM;HAWKEYE: EARTH'S MIGHTIEST MARKSMAN
HC;HULK COMIC (British Comic)
HCAT;HELLCAT
HEDYDVC;HEDY DE VINE COMICS
HEDYOH;HEDY OF HOLLYWOOD
HELL:PL;HELLSTORM: PRINCE OF LIES
HERALDS;HERALDS
HERC;HERC
HF:GG;HULK FAMILY: GREEN GENES
HFH;HEROES FOR HIRE
HFH2;HEROES FOR HIRE VOL. 2
HFH3;HEROES FOR HIRE VOL. 3
HFH/QS;HEROES FOR HIRE/QUICKSILVER
HFHOPE;HEROES FOR HOPE
HFLY;HUMAN FLY
HM-S;HULK MONSTER-SIZE
HMAG;HULK MAGAZINE
HNT;HIGH NOON TEX
HOH2;HAUNT OF HORROR VOL. 2 (MAGAZINE)
HOHEM;HOUSE OF HEM
HOM;HOUSE OF M
HOM:DA;HOUSE OF M: DAY AFTER
HOOD;HOOD
HOUTH;HULKED OUT HEROES
HR;HEROES REBORN
HR:ASHEMA;HEROES REBORN: ASHEMA
HR:DOOM;HEROES REBORN: DOOM
HR:DOOMSDAY;HEROES REBORN: DOOMSDAY
HR:MOE;HEROES REBORN: MASTERS OF EVIL
HR:R;HEROES REBORN: RETURN
HR:REBEL;HEROES REBORN: REBEL
HR:REMNANTS;HEROES REBORN: REMNANTS
HR:YALLIES;HEROES REBORN: YOUNG ALLIES
HRC;HERCULES
HRC2;HERCULES VOL. 2
HRC3;HERCULES VOL. 3
HRC:FA;HERCULES: FALL OF AN AVENGER
HRC:HOC;HERCULES: HEART OF CHAOS
HRC:TOG;HERCULES: TWILIGHT OF A GOD
HSMASH;HULK SMASH
HSMASHA;HULK SMASH AVENGERS
HT2;HUMAN TORCH VOL. 2
HTC;HUMAN TORCH COMICS
HTC70A;HUMAN TORCH COMICS 70TH ANNIVERSARY SPECIAL
HTD;HOWARD THE DUCK
HTD2;HOWARD THE DUCK VOL. 2
HTD3;HOWARD THE DUCK VOL. 3
HTD HSPEC;HOWARD THE DUCK HOLIDAY SPECIAL
HTD MAG;HOWARD THE DUCK (MAGAZINE)
HTU;HULK TEAM-UP
HUNGER;HUNGER
HV.FFF;HULK VS. FIN FANG FOOM
HV.HRC:WTC;HULK VS. HERCULES: WHEN TITANS COLLIDE
HVK&W:M;HAVOK & WOLVERINE: MELTDOWN
HVK&W:M TPB;HAVOK & WOLVERINE: MELTDOWN TRADE PAPERBACK
I♥M/:AI;I ♥ MARVEL: AI
I♥M/:MI;I ♥ MARVEL: MASKED INTENTIONS
I♥M/:MMH;I ♥ MARVEL: MY MUTANT HEART
I♥M/:OL;I ♥ MARVEL: OUTLAW LOVE
I♥M/:WOR;I ♥ MARVEL: WEB OF ROMANCE
IA;INFINITY ABYSS
IAAA;I AM AN AVENGER
IAGE;IRON AGE
IAGE:A;IRON AGE: ALPHA
IAGE:O;IRON AGE: OMEGA
IC;INFINITY CRUSADE
ICE;ICEMAN
ICE2;ICEMAN VOL. 2
IDDISC;IDENTITY DISC
IDEALC;IDEAL COMICS
IDH;INCOMPLETE DEATH'S HEAD
IF;IRON FIST
IF2;IRON FIST VOL. 2
IF3;IRON FIST VOL. 3
IF4;IRON FIST VOL. 4
IF/W;IRON FIST/WOLVERINE
IF:LW;IRON FIST: LIVING WEAPON
IG;INFINITY GAUNTLET
IGUARD;IMPERIAL GUARD
IH;INCREDIBLE HULK
IH2;INCREDIBLE HULK VOL. 2
IH3;INCREDIBLE HULK VOL. 3
IH4;INCREDIBLE HULK VOL. 4
IH/SUB;INCREDIBLE HULK/SUB-MARINER
IH:HRCU;INCREDIBLE HULK: HERCULES UNLEASHED
IHRC;INCREDIBLE HERCULES
IHS;INCREDIBLE HULKS
IHV.V;INCREDIBLE HULK VS. VENOM
IIF;IMMORTAL IRON FIST
IIF:GMOD;IMMORTAL IRON FIST: ORSON RANDALL AND THE GREEN MIST OF DEATH
IIF:DQOC;IMMORTAL IRON FIST: ORSON RANDALL AND THE DEATH QUEEN OF CALIFORNIA
IIM;INVINCIBLE IRON MAN
IM;IRON MAN
IM2;IRON MAN VOL. 2
IM3;IRON MAN VOL. 3
IM4;IRON MAN VOL. 4
IM5;IRON MAN VOL. 5
IM&PP;IRON MAN & POWER PACK
IM&SUB;IRON MAN & SUB-MARINER
IM/CA;IRON MAN/CAPTAIN AMERICA
IM/CA:COW;IRON MAN/CAPTAIN AMERICA: CASUALTIES OF WAR
IM/T;IRON MAN/THOR
IM:BB;IRON MAN: BAD BLOOD
IM:DOS;IRON MAN: DIRECTOR OF S.H.I.E.L.D.
IM:EM;IRON MAN: ENTER THE MANDARIN
IM:HOM;IRON MAN: HOUSE OF M
IM:HYPER;IRON MAN: HYPERVELOCITY
IM:IA;IRON MAN: IRON AGE
IM:INEV;IRON MAN: INEVITABLE
IM:IP;IRON MAN: IRON PROTOCOLS
IM:K&K;IRON MAN: KISS & KILL
IM:LEG;IRON MAN: LEGACY
IM:LOD;IRON MAN: LEGACY OF DOOM
IM:T;IRON MAN: TITANIUM
IM2.0;IRON MAN 2.0
IM2020;IRON MAN 2020
IMNOIR;IRON MAN NOIR
IMPMSUMV;IMPOSSIBLE MAN SUMMER VACATION SPECTACULAR
INDH;INDESTRUCTIBLE HULK
INDIM;INDOMITABLE IRON MAN
INFINITY;INFINITY
INH;INHUMAN
INHS;INHUMANS
INHS2;INHUMANS VOL. 2
INHS3;INHUMANS VOL. 3
INHS4;INHUMANS VOL. 4
INHS:GR;INHUMANS: GREAT REFUGE
INHS:US;INHUMANS: UNTOLD SAGA
INV;INVADERS
INV2;INVADERS VOL. 2
INVN;INVADERS NOW!
IRONMEN;IRON MEN
IRRANT;IRREDEEMABLE ANT-MAN
IW;INFINITY WAR
IWEAP;IMMORTAL WEAPONS
J2;J2
JA;JUNGLE ACTION
JEANIEC;JEANIE COMICS
JIM;JOURNEY INTO MYSTERY
JIUW;JOURNEY INTO UNKNOWN WORLDS
JLA/A;JLA/AVENGERS
JOH;JACK OF HEARTS
JUB;JUBILEE
JUG;JUGGERNAUT
JUG:ED;JUGGERNAUT: EIGHTH DAY
JUST;JUSTICE
JUST2;JUSTICE VOL. 2
KBSS;KENT BLAKE OF THE SECRET SERVICE
KC;KID COLT
KC2;KID COLT VOL. 2
KCO;KID COLT OUTLAW
KI;KICKERS INC.
KIDK;KID KOMICS
KLAWS;KLAWS OF THE PANTHER
KOP;KNIGHTS OF PENDRAGON
KOP2;KNIGHTS OF PENDRAGON VOL. 2
KP:EY;KILLPOWER: EARLY YEARS
KPRY&W;KITTY PRYDE & WOLVERINE
KPRY:S&F;KITTY PRYDE: SHADOW & FLAME
KPRYAOS;KITTY PRYDE, AGENT OF S.H.I.E.L.D.
KSC;KING-SIZE CABLE
KSH;KING-SIZE HULK
KULLC;KULL THE CONQUEROR
KULLC3;KULL THE CONQUEROR VOL. 3
KZ;KA-ZAR
KZ2;KA-ZAR VOL. 2 (LORD OF THE HIDDEN JUNGLE)
KZ3;KA-ZAR VOL. 3
KZ4;KA-ZAR VOL. 4
KZSAV;KA-ZAR THE SAVAGE
KZSL;KA-ZAR OF THE SAVAGE LAND
L;LOGAN
L&TDH;LIFE & TIMES OF DEATH'S HEAD TPB
L:PW;LOGAN: PATH OF THE WARLORD
L:SS;LOGAN: SHADOW SOCIETY
LANA;LANA
LASTDEF;LAST DEFENDERS
LBRKRAL;LAWBREAKERS ALWAYS LOSE!
LCHFH;LUKE CAGE, HERO FOR HIRE
LCNOIR;LUKE CAGE NOIR
LFSM;LETHAL FOES OF SPIDER-MAN
LHS;LAST HERO STANDING
LIGHTNINGC;LIGHTNING COMICS
LIGHTNINGC2;LIGHTNING COMICS VOL. 2
LIGHTNINGC3;LIGHTNING COMICS VOL. 3
LLIZZIE;LITTLE LIZZIE
LOM;LEGION OF MONSTERS (MAGAZINE)
LOM2;LEGION OF MONSTERS VOL. 2
LOM:M-T;LEGION OF MONSTERS: MAN-THING
LOM:MORB;LEGION OF MONSTERS: MORBIUS
LOM:SAT;LEGION OF MONSTERS: SATANA
LOM:WBN;LEGION OF MONSTERS: WEREWOLF BY NIGHT
LON;LEGION OF NIGHT
LONERS;LONERS
LPS;LAST PLANET STANDING
LPUMP;LORD PUMPKIN
LPUMP/NMANTRA;LORD PUMPKIN/NECROMANTRA
LRUN;LOGAN'S RUN
LSHOT;LONGSHOT
LSHOT2;LONGSHOT VOL. 2
LSHOTSM/U;LONGSHOT SAVES THE MARVEL UNIVERSE
LUNATIK;LUNATIK
LW;LIVEWIRES
M;MAGNETO
M3;MAGNETO VOL. 3
M/:LG;MARVEL: LOST GENERATION
M/ADVSM;MARVEL ADVENTURES SPIDER-MAN
M/AGE;MARVEL AGE
M/APES;MARVEL APES
M/APES DIG;MARVEL APES DIGITAL COMIC
M/APES:ASM;MARVEL APES: AMAZING SPIDER-MONKEY
M/APES:ESH;MARVEL APES: EVOLUTION STARTS HERE TPB
M/APES:GL;MARVEL APES: GRUNT LINE
M/APES:SB;MARVEL APES: SPEEDBALL
M/ASS;MARVEL ASSISTANT-SIZED SPECTACULAR
M/C;MARVEL COMICS
M/CE;MARVEL COLLECTOR'S EDITION
M/CHL;MARVEL CHILLERS
M/CP;MARVEL COMICS PRESENTS
M/CP2;MARVEL COMICS PRESENTS VOL. 2
M/DF:A;MARVEL DOUBLE FEATURE: AVENGERS
M/DF:TSTRK;MARVEL DOUBLE FEATURE: THUNDERSTRIKE
M/DIGHOL;MARVEL DIGITAL HOLIDAY SPECIAL
M/DIVAS;MARVEL DIVAS
M/DS;MARVEL DOUBLE SHOT
M/EUR;MARVEL EUROPA TPB
M/FAN;MARVEL FANFARE
M/FAN2;MARVEL FANFARE VOL. 2
M/FEA;MARVEL FEATURE
M/FEA2;MARVEL FEATURE VOL. 2
M/FRONTC SPEC;MARVEL FRONTIER COMICS SPECIAL
M/GN;MARVEL GRAPHIC NOVEL
M/GN:AGENT;MARVEL GRAPHIC NOVEL: RICK MASON, THE AGENT
M/GN:ASMH;MARVEL GRAPHIC NOVEL: AMAZING SPIDER-MAN IN HOOKY
M/GN:ASMPL;MARVEL GRAPHIC NOVEL: AMAZING SPIDER-MAN, PARALLEL LIVES
M/GN:CAD;MARVEL GRAPHIC NOVEL: CLOAK AND DAGGER
M/GN:CAD/PP;MARVEL GRAPHIC NOVEL: CLOAK AND DAGGER AND POWER PACK: SHELTER FROM THE STORM
M/GN:DD;MARVEL GRAPHIC NOVEL: DAREDEVIL
M/GN:DS;MARVEL GRAPHIC NOVEL: DOCTOR STRANGE INTO SHAMBALLA
M/GN:DS&DOOM;MARVEL GRAPHIC NOVEL: DOCTOR STRANGE AND DOCTOR DOOM: TRIUMPH AND TORMENT
M/GN:EDOOM;MARVEL GRAPHIC NOVEL: EMPEROR DOOM
M/GN:HRCPOPFC;MARVEL GRAPHIC NOVEL: HERCULES, PRINCE OF POWER: FULL CIRCLE
M/GN:IH&TG;MARVEL GRAPHIC NOVEL: INCREDIBLE HULK & THING
M/GN:INHS;MARVEL GRAPHIC NOVEL: INHUMANS
M/GN:PAG;MARVEL GRAPHIC NOVEL: PUNISHER, ASSASSIN'S GUILD
M/GN:PINT;MARVEL GRAPHIC NOVEL: PUNISHER: INTRUDER
M/GN:SQS;MARVEL GRAPHIC NOVEL: SQUADRON SUPREME: DEATH OF A UNIVERSE
M/GN:SSJD;MARVEL GRAPHIC NOVEL: SILVER SURFER: JUDGMENT DAY
M/GN:T;MARVEL GRAPHIC NOVEL: THOR
M/GN:W/NF;MARVEL GRAPHIC NOVEL: WOLVERINE/NICK FURY: SCORPIO CONNECTION
M/GN:WPACK;MARVEL GRAPHIC NOVEL: WOLFPACK
M/H&L;MARVEL HEROES & LEGENDS
M/HB;MARVEL HEARTBREAKERS
M/HOL;MARVEL HOLIDAY SPECIAL
M/K;MARVEL KNIGHTS
M/K2;MARVEL KNIGHTS VOL. 2
M/KBP2099;MARVEL KNIGHTS BLACK PANTHER 2099
M/KDD2099;MARVEL KNIGHTS DAREDEVIL 2099
M/KDS;MARVEL KNIGHTS DOUBLE SHOT
M/KINHS2099;MARVEL KNIGHTS INHUMANS 2099
M/KM2099;MARVEL KNIGHTS MUTANT 2099
M/KP2099;MARVEL KNIGHTS PUNISHER 2099
M/KSM;MARVEL KNIGHTS SPIDER-MAN
M/M:DDINO;MARVEL MONSTERS: DEVIL DINOSAUR
M/M:FFF;MARVEL MONSTERS: FIN FANG FOUR
M/M:MOTP;MARVEL MONSTERS: MONSTERS ON THE PROWL
M/M:WMD;MARVEL MONSTERS: WHERE MONSTERS DWELL
M/MANGA;MARVEL MANGAVERSE
M/MANGA:AASS;MARVEL MANGAVERSE: AVENGERS ASSEMBLE
M/MANGA:ET;MARVEL MANGAVERSE: ETERNITY TWILIGHT
M/MANGA:FF;MARVEL MANGAVERSE: FANTASTIC FOUR
M/MANGA:GRS;MARVEL MANGAVERSE: GHOST RIDERS
M/MANGA:ND;MARVEL MANGAVERSE: NEW DAWN
M/MANGA:P;MARVEL MANGAVERSE: PUNISHER
M/MANGA:SM;MARVEL MANGAVERSE: SPIDER-MAN
M/MANGA:X;MARVEL MANGAVERSE: X-MEN
M/MC;MARVEL MYSTERY COMICS
M/MC70A;MARVEL MYSTERY COMICS 70TH ANNIVERSARY SPECIAL
M/NPO;MARVEL NOW! POINT ONE
M/PRM;MARVEL PREMIERE
M/PROJECT;MARVELS PROJECT
M/PRS;MARVEL PRESENTS
M/PRV;MARVEL PREVIEW (MAGAZINE)
M/S&L;MARVEL SHADOWS & LIGHT
M/S-H;MARVEL SUPER-HEROES
M/S-H2;MARVEL SUPER-HEROES VOL. 2
M/S-H3;MARVEL SUPER-HEROES VOL. 3
M/S-HCOC;MARVEL SUPER HERO CONTEST OF CHAMPIONS
M/S-HSECWARS;MARVEL SUPER-HEROES SECRET WARS
M/SA;MARVEL SUPER-ACTION (MAGAZINE)
M/SAGA;MARVEL SAGA
M/SPT;MARVEL SPOTLIGHT
M/SPT2;MARVEL SPOTLIGHT VOL. 2
M/SSPEC;MARVEL SUPER-SPECIAL (MAGAZINE)
M/TA;MARVEL TRIPLE ACTION
M/TALES;MARVEL TALES
M/TALES2;MARVEL TALES VOL. 2
M/TE;MARVEL TREASURY EDITION
M/TIO;MARVEL TWO-IN-ONE
M/TOP;MARVEL TOP 6: WILD ANGELS
M/TU;MARVEL TEAM-UP
M/TU2;MARVEL TEAM-UP VOL. 2
M/TU3;MARVEL TEAM-UP VOL. 3
M/TV:GLCTS;MARVEL TV: GALACTUS
M/U;MARVEL UNIVERSE
M/VAL SPEC;MARVEL VALENTINE SPECIAL
M/VAULT:DEF;MARVEL VAULT: DEFENDERS
M/VAULT:DS;MARVEL VAULT: DOCTOR STRANGE
M/VAULT:GAM&CHMPS;MARVEL VAULT: GAMBIT & THE CHAMPIONS
M/VAULT:IH&HT;MARVEL VAULT: INCREDIBLE HULK & HUMAN TORCH
M/VAULT:TB;MARVEL VAULT: THUNDERBOLTS
M/W:KC&AG;MARVEL WESTERNS: KID COLT AND THE ARIZONA GIRL
M/W:SW;MARVEL WESTERNS: STRANGE WESTERNS
M/W:TGK;MARVEL WESTERNS: TWO-GUN KID
M/W:WL;MARVEL WESTERNS: WESTERN LEGENDS
M/YIR;MARVEL YEAR IN REVIEW
M/Z;MARVEL ZOMBIES
M/Z2;MARVEL ZOMBIES 2
M/Z3;MARVEL ZOMBIES 3
M/Z4;MARVEL ZOMBIES 4
M/Z5;MARVEL ZOMBIES 5
M/Z:DD;MARVEL ZOMBIES: DEAD DAYS
M/Z:EE;MARVEL ZOMBIES: EVIL EVOLUTION
M/ZHWEEN;MARVEL ZOMBIES HALLOWEEN
M/ZR;MARVEL ZOMBIES RETURN
M/ZV.AOD;MARVEL ZOMBIES VS. ARMY OF DARKNESS
M:DS;MAGNETO: DARK SEDUCTION
M:NH;MAGNETO: NOT A HERO
M-T;MAN-THING
M-T2;MAN-THING VOL. 2
M-T3;MAN-THING VOL. 3
MA;MIGHTY AVENGERS
MA2;MIGHTY AVENGERS VOL. 2
MADROX;MADROX
MANTRA;MANTRA
MANTRA2;MANTRA VOL. 2
MANTRA ∞;MANTRA ∞
MANTRA:SOD;MANTRA: SPEAR OF DESTINY
MARGIEC;MARGIE COMICS
MARVELS;MARVELS
MARVELS:EYE;MARVELS: EYE OF THE CAMERA
MARVILLE;MARVILLE
MAV;MAVERICK
MAV2;MAVERICK VOL. 2
MAXSEC;MAXIMUM SECURITY
MAXSEC:DP;MAXIMUM SECURITY: DEADLY PLANET
MB;MARVEL BOY
MB2;MARVEL BOY VOL. 2
MEKANIX;MEKANIX
MENACE;MENACE
MENADV;MEN'S ADVENTURES
MEPHV.;MEPHISTO VS. ...
MERC;MARK HAZZARD: MERC
MG:I;MORTIGAN GOTH: IMMORTALIS
MGK;MAGIK
MGK2;MAGIK VOL. 2
MHDS;MYSTIC HANDS OF DOCTOR STRANGE
MICRO;MICRONAUTS
MICRO2;MICRONAUTS: NEW VOYAGES
MICROCHIP;PUNISHER: ORIGIN OF MICROCHIP
MILLIEM;MILLIE THE MODEL
MIMO:ULTSM;MILES MORALES: ULTIMATE SPIDER-MAN
MISSAC;MISS AMERICA COMICS
MISSAC70A;MISS AMERICA COMICS 70TH ANNIVERSARY SPECIAL
MISSAMAG;MISS AMERICA MAGAZINE
MISSF;MISS FURY
MK;MOON KNIGHT
MK2;MOON KNIGHT VOL. 2 (FIST OF KHONSHU)
MK3;MOON KNIGHT VOL. 3
MK4;MOON KNIGHT VOL. 4 (HIGH STRANGERS)
MK5;MOON KNIGHT VOL. 5
MK6;MOON KNIGHT VOL. 6
MK7;MOON KNIGHT VOL. 7
MK:DWF;MOON KNIGHT: DIVIDED WE FALL
MK:SK;MOON KNIGHT: SILENT KNIGHT
MM;MACHINE MAN
MM2;MACHINE MAN VOL. 2
MM/:SECINV;MINI-MARVELS: SECRET INVASION TPB
MM/BSTN;MACHINE MAN/BASTION
MMACAD;MUTANT MISADVENTURES OF CLOAK AND DAGGER
MMEN;MYSTERY MEN
MMOUTH;MOTORMOUTH
MMOUTH&KP;MOTORMOUTH & KILLPOWER
MODELS;MODELS INC.
MOKF;MASTER OF KUNG FU
MOKF:BB;MASTER OF KUNG FU: BLEEDING BLACK
MONF;MONSTER OF FRANKENSTEIN
MONTHLY BESSATSU SHONEN MAG;MONTHLY MESSATSU SHONEN MAGAZINE
MORB:LV;MORBIUS: LIVING VAMPIRE
MORB:LV2;MORBIUS: LIVING VAMPIRE VOL. 2
MORLOCKS;MORLOCKS
MOTION PICTURES FUNNIES WEEKLY;MOTION PICTURES FUNNIES WEEKLY
MOTP;MONSTERS ON THE PROWL
MR;MAGNETO REX
MSG;MATT SLADE, GUNFIGHTER
MSM;MS. MARVEL
MSM2;MS. MARVEL VOL. 2
MSM3;MS. MARVEL VOL. 3
MSM SPEC;MS. MARVEL SPECIAL
MSM:S;MS. MARVEL: STORYTELLER
MSMK;MARC SPECTOR: MOON KNIGHT
MSMKSE;MARC SPECTOR: MOON KNIGHT SPECIAL EDITION
MSTQ;MYSTIQUE
MSU;MIDNIGHT SUNS UNLIMITED
MT;MIGHTY THOR
MTEEN;MACHINE TEEN
MTW;MYS-TECH WARS
MU;MONSTERS UNLEASHED! (MAGAZINE)
MUTIES;MUTIES
MUTOPIA;MUTOPIA X
MWM/2;MIGHTY WORLD OF MARVEL VOL. 2
MX;MUTANT X
MYSARC:BK;MYSTIC ARCANA: BLACK KNIGHT
MYSARC:M;MYSTIC ARCANA: MAGIK
MYSARC:SCRW;MYSTIC ARCANA: SCARLET WITCH
MYSARC:SGRIMM;MYSTIC ARCANA: SISTER GRIMM
MYSC;MYSTIC COMICS
MYSC70A;MYSTIC COMICS 70TH ANNIVERSARY SPECIAL
N;NAMOR
N:FM;NAMOR: THE FIRST MUTANT
NA;NEW AVENGERS
NA2;NEW AVENGERS VOL. 2
NA3;NEW AVENGERS VOL. 3
NA:FINALE;NEW AVENGERS: FINALE
NA:ILLUM;NEW AVENGERS: ILLUMINATI
NA:ILLUM2;NEW AVENGERS: ILLUMINATI VOL. 2
NA:LC;NEW AVENGERS: LUKE CAGE
